gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2603382258	StillImage	image/jpeg	https://static.inaturalist.org/photos/67113330/original.jpg?1586991197	https://www.inaturalist.org/photos/67113330					2020-04-15T19:16:19Z	Frederick Nunley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Frederick Nunley
2603382258	StillImage	image/jpeg	https://static.inaturalist.org/photos/67113303/original.jpg?1586991180	https://www.inaturalist.org/photos/67113303					2020-04-15T19:16:19Z	Frederick Nunley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Frederick Nunley
2603382068	StillImage	image/jpeg	https://static.inaturalist.org/photos/66988022/original.jpg?1586904269	https://www.inaturalist.org/photos/66988022					2020-04-14T21:12:31Z	swiseheart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	swiseheart
2603381386	StillImage	image/jpeg	https://static.inaturalist.org/photos/66469301/original.jpg?1586585460	https://www.inaturalist.org/photos/66469301					2020-04-10T16:07:35Z	Risa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Risa
2603378363	StillImage	image/jpeg	https://static.inaturalist.org/photos/66451456/original.jpg?1586571628	https://www.inaturalist.org/photos/66451456					2020-03-26T11:40:38Z	Judy Gallagher		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Judy Gallagher
2603372048	StillImage	image/jpeg	https://static.inaturalist.org/photos/66956689/original.jpeg?1586889372	https://www.inaturalist.org/photos/66956689					2020-04-14T14:34:50Z	lbruns		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lbruns
2603371330	StillImage	image/jpeg	https://static.inaturalist.org/photos/67205279/original.jpg?1587061381	https://www.inaturalist.org/photos/67205279					2020-04-16T19:55:50Z	josietatumm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	josietatumm
2603371119	StillImage	image/jpeg	https://static.inaturalist.org/photos/67043591/original.jpg?1586955934	https://www.inaturalist.org/photos/67043591					2020-04-15T08:04:01Z	yallahdana		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	yallahdana
2603366410	StillImage	image/jpeg	https://static.inaturalist.org/photos/67244543/original.jpg?1587079857	https://www.inaturalist.org/photos/67244543					2020-04-16T23:30:35Z	jsmagula		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jsmagula
2603363044	StillImage	image/jpeg	https://static.inaturalist.org/photos/66940407/original.jpeg?1586880724	https://www.inaturalist.org/photos/66940407					2020-04-14T12:11:49Z	ftpkca		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ftpkca
2603362037	StillImage	image/jpeg	https://static.inaturalist.org/photos/66960844/original.jpg?1586891381	https://www.inaturalist.org/photos/66960844					2020-04-14T19:04:19Z	hayespyle		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hayespyle
2603354103	StillImage	image/jpeg	https://static.inaturalist.org/photos/67103196/original.jpg?1586986316	https://www.inaturalist.org/photos/67103196					2020-04-15T19:20:15Z	granolapunk		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	granolapunk
2603354103	StillImage	image/jpeg	https://static.inaturalist.org/photos/67103163/original.jpg?1586986298	https://www.inaturalist.org/photos/67103163					2020-04-15T19:20:15Z	granolapunk		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	granolapunk
2603353279	StillImage	image/jpeg	https://static.inaturalist.org/photos/67224450/original.jpg?1587070036	https://www.inaturalist.org/photos/67224450					2020-04-16T15:46:12Z	bjbutler22		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bjbutler22
2603353225	StillImage	image/jpeg	https://static.inaturalist.org/photos/67178414/original.jpg?1587047034	https://www.inaturalist.org/photos/67178414					2020-04-15T23:49:07Z	kwynne		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kwynne
2603353225	StillImage	image/jpeg	https://static.inaturalist.org/photos/67178406/original.jpg?1587047027	https://www.inaturalist.org/photos/67178406					2020-04-15T23:49:07Z	kwynne		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kwynne
2603353069	StillImage	image/jpeg	https://static.inaturalist.org/photos/67057083/original.jpg?1586964407	https://www.inaturalist.org/photos/67057083					2020-04-15T15:25:13Z	gfortenb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gfortenb
2603353069	StillImage	image/jpeg	https://static.inaturalist.org/photos/67057098/original.jpg?1586964415	https://www.inaturalist.org/photos/67057098					2020-04-15T15:25:13Z	gfortenb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gfortenb
2603350112	StillImage	image/jpeg	https://static.inaturalist.org/photos/67091714/original.jpeg?1586981530	https://www.inaturalist.org/photos/67091714					2020-04-15T16:11:25Z	adastraeliz		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	adastraeliz
2603346370	StillImage	image/jpeg	https://static.inaturalist.org/photos/66670039/original.jpg?1586709443	https://www.inaturalist.org/photos/66670039					2020-04-12T16:35:35Z	dawn_a		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dawn_a
2603346238	StillImage	image/jpeg	https://static.inaturalist.org/photos/66582945/original.jpg?1586648586	https://www.inaturalist.org/photos/66582945					2020-04-11T17:33:21Z	sahrafanousi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sahrafanousi
