"estimate","lowCI","highCI","true_value","distance","obs","sd","estimator","perc","Q"
176.597716269288,149.92201663465,182.972548921588,162.68,13.9177162692878,10,10,"pearse","onset",0
185.754864748542,171.885000323191,188.366482219573,162.68,23.0748647485424,10,10,"pearse","onset",0
174.518303372524,144.120146136936,181.879441915026,162.68,11.8383033725244,10,10,"pearse","onset",0
173.508127163821,142.757736512507,180.999692773175,162.68,10.8281271638206,10,10,"pearse","onset",0
174.746496396276,144.678389905771,181.811125470021,162.68,12.0664963962758,10,10,"pearse","onset",0
190.978284670334,185.426573170729,191.884428523814,162.68,28.2982846703342,10,10,"pearse","onset",0
180.118901746988,157.602482161509,185.019011988231,162.68,17.4389017469877,10,10,"pearse","onset",0
176.898847823765,152.814694939166,182.659077200849,162.68,14.2188478237652,10,10,"pearse","onset",0
172.923170312353,143.67135101312,179.906268520548,162.68,10.243170312353,10,10,"pearse","onset",0
186.363559329519,174.213833416105,189.072227135163,162.68,23.6835593295194,10,10,"pearse","onset",0
165.662324814404,126.149890637449,175.038587639087,162.68,2.98232481440351,10,10,"pearse","onset",0
192.780736833482,186.283584391579,193.56862380768,162.68,30.1007368334817,10,10,"pearse","onset",0
175.039223196278,154.226783980851,179.352581749361,162.68,12.359223196278,10,10,"pearse","onset",0
157.571279133659,105.869275253262,169.556639825343,162.68,-5.108720866341,10,10,"pearse","onset",0
104.632850671858,-56.7360942718135,132.931008100246,119.92,-15.2871493281424,10,20,"pearse","onset",0
168.25193329235,141.724639921641,173.579254459126,119.92,48.3319332923495,10,20,"pearse","onset",0
160.015832790679,107.852389996594,172.345814555985,119.92,40.0958327906786,10,20,"pearse","onset",0
176.006092833859,147.076159085951,182.598432207985,119.92,56.0860928338589,10,20,"pearse","onset",0
126.66800218614,39.0130520446086,145.868763624684,119.92,6.74800218613974,10,20,"pearse","onset",0
155.277767895868,97.613852156589,168.687327604413,119.92,35.357767895868,10,20,"pearse","onset",0
144.641614699229,67.699068752927,162.421640689935,119.92,24.7216146992294,10,20,"pearse","onset",0
183.769744913965,175.820903095711,184.726847489499,119.92,63.849744913965,10,20,"pearse","onset",0
163.350212301237,125.692781630252,171.708256539972,119.92,43.4302123012367,10,20,"pearse","onset",0
165.964961379337,118.399164513926,177.468076108898,119.92,46.0449613793372,10,20,"pearse","onset",0
156.703266509367,110.646773412101,167.674355469095,119.92,36.7832665093666,10,20,"pearse","onset",0
180.056098077862,160.660414160505,182.755431051825,119.92,60.1360980778621,10,20,"pearse","onset",0
175.896932240018,152.020611404345,180.820539121444,119.92,55.976932240018,10,20,"pearse","onset",0
160.246700445792,117.039151116408,170.694466104868,119.92,40.326700445792,10,20,"pearse","onset",0
159.861175900473,126.815753453508,166.57570897596,119.92,39.941175900473,10,20,"pearse","onset",0
101.9157226535,-44.6917718400705,128.86025772086,119.92,-18.0042773465003,10,20,"pearse","onset",0
144.105112202488,110.066046166948,150.294325805526,119.92,24.1851122024882,10,20,"pearse","onset",0
131.919987570213,22.7685766093156,152.861761837705,119.92,11.9999875702133,10,20,"pearse","onset",0
147.228473245725,95.2087920755119,158.951006777118,119.92,27.3084732457248,10,20,"pearse","onset",0
155.099068675112,121.729486446598,162.92877905738,119.92,35.1790686751123,10,20,"pearse","onset",0
179.313320422669,154.0118223089,184.665761872278,119.92,59.3933204226693,10,20,"pearse","onset",0
145.294845751784,91.0969515210182,157.242012681749,119.92,25.3748457517841,10,20,"pearse","onset",0
157.713153768664,113.073996626288,167.847647663677,119.92,37.7931537686641,10,20,"pearse","onset",0
154.577550686505,121.380472473431,160.847969083202,119.92,34.6575506865047,10,20,"pearse","onset",0
131.461865069805,62.7054496604191,147.137733637148,119.92,11.541865069805,10,20,"pearse","onset",0
159.9941207429,119.604835585959,169.094425540414,119.92,40.0741207428999,10,20,"pearse","onset",0
175.526741315914,150.720042369795,180.019006385621,119.92,55.6067413159139,10,20,"pearse","onset",0
165.5102686535,112.734899435477,178.330570126082,119.92,45.5902686534998,10,20,"pearse","onset",0
