"scientific_name","latitude","longitude","id","user_login","observed_on","day","year","data_source","file","adults","life_stage"
"Danaus plexippus",41.839754,-87.837979,13293909,"sanguinaria33","2018-06-09",160,2018,"iNaturalist","d_plexippus13293909.jpg",0,"L"
"Danaus plexippus",38.5885416667,-92.2320866667,13300446,"amlambert11","2018-06-09",160,2018,"iNaturalist","d_plexippus13300446.jpg",1,"-"
"Danaus plexippus",41.6969982937,-86.969361202,13301414,"kcleer","2018-06-10",161,2018,"iNaturalist","d_plexippus13301414.jpg",0,"L"
"Danaus plexippus",41.410745,-82.6023183333,13310868,"dmcshaffrey","2018-06-08",159,2018,"iNaturalist","d_plexippus13310868.jpg",0,"L"
"Danaus plexippus",41.8491051657,-87.6115438721,13316374,"russh","2018-06-03",154,2018,"iNaturalist","d_plexippus13316374.jpg",1,"-"
"Danaus plexippus",40.5464151,-82.4798446,13319161,"tyler117","2018-06-09",160,2018,"iNaturalist","d_plexippus13319161.jpg",0,"L"
"Danaus plexippus",37.7700328257,-75.574009046,13321918,"bobsuppa","2018-06-09",160,2018,"iNaturalist","d_plexippus13321918.jpg",1,"-"
"Danaus plexippus",41.4242744446,-81.7327651978,13348428,"lisa63","2018-06-08",159,2018,"iNaturalist","d_plexippus13348428.jpg",0,"E"
"Danaus plexippus",36.1425018311,-86.814163208,13355905,"kris10han","2018-06-05",156,2018,"iNaturalist","d_plexippus13355905.jpg",1,"-"
"Danaus plexippus",41.834248325,-87.833964253,13368219,"nixon0072","2018-06-12",163,2018,"iNaturalist","d_plexippus13368219.jpg",1,"-"
"Danaus plexippus",41.8804588318,-87.6204452515,13370877,"josh-farnum","2018-06-12",163,2018,"iNaturalist","d_plexippus13370877.jpg",1,"-"
"Danaus plexippus",41.69657873,-87.70830784,13372472,"andrewstpaul","2018-06-12",163,2018,"iNaturalist","d_plexippus13372472.jpg",0,"P"
"Danaus plexippus",41.917,-87.63102,13378516,"dherrera13","2018-06-12",163,2018,"iNaturalist","d_plexippus13378516.jpg",0,"L"
"Danaus plexippus",41.8811864987,-87.6220142365,13379071,"taco2000","2018-06-12",163,2018,"iNaturalist","d_plexippus13379071.jpg",1,"-"
"Danaus plexippus",40.5567343,-80.1631139,13381228,"fluffberger","2018-06-11",162,2018,"iNaturalist","d_plexippus13381228.jpg",0,"L"
"Danaus plexippus",39.2605198827,-93.2630406227,13381982,"kelleyfuemmeler","2018-06-12",163,2018,"iNaturalist","d_plexippus13381982.jpg",1,"-"
"Danaus plexippus",38.588725,-92.2312916667,13385140,"amlambert11","2018-06-12",163,2018,"iNaturalist","d_plexippus13385140.jpg",1,"-"
"Danaus plexippus",39.0262552001,-76.7589764346,13391845,"hholbrook","2018-06-12",163,2018,"iNaturalist","d_plexippus13391845.jpg",1,"-"
"Danaus plexippus",41.865565,-87.6173216667,13400491,"carterobrien","2018-06-13",164,2018,"iNaturalist","d_plexippus13400491.jpg",1,"-"
